system:index,DEM,Moisture,NBR,NDVI,NDWI,PRE_ANUAL,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SWIR,class,slope,year,LON,
0_29_0,1192,0.3430981,0.61866874,0.83190084,-0.7395814,2627,0.0288825,0.02870375,0.05576375,0.03216875,0.373265,0.18842375,0.0886675,0.18842375,0,17.08254,2013,-96.85217677,19.02564398
0_30_0,2469,0.1684919,0.30855414,0.525876,-0.54644537,1011,0.0346575,0.0413675,0.0685375,0.07731,0.28235,0.1695175,0.128845,0.1695175,0,1.8543341,2013,-97.35101124,18.85289795
0_31_0,2812,0.22011517,0.43317235,0.64370066,-0.6311196,1353,0.019065,0.02367125,0.04410375,0.04245375,0.19851625,0.120485,0.075,0.120485,0,11.60724,2013,-97.23782352,19.39889398
0_32_0,2306,0.17696343,0.46850762,0.65820086,-0.62186766,2012,0.0331725,0.042495,0.0814075,0.08028,0.3873175,0.27194125,0.141165,0.27194125,0,20.10919,2013,-97.13730204,19.37868189
0_33_0,1225,0.36905983,0.6701731,0.87625307,-0.779097,2627,0.02534875,0.02400125,0.04369125,0.02468875,0.36560625,0.16598375,0.069775,0.16598375,0,14.649604,2013,-96.85837514,19.03022539
0_34_0,1858,0.41104993,0.70559394,0.89773816,-0.8025853,2183,0.0184325,0.01723625,0.03436875,0.01789625,0.31728875,0.132585,0.0570975,0.132585,0,36.09218,2013,-97.11304753,18.78148189
0_35_0,2621,0.07438567,0.15605684,0.3463107,-0.39220718,694,0.04080375,0.0568775,0.09189875,0.10382,0.2044975,0.1905825,0.16147375,0.1905825,0,4.02876,2013,-97.38658453,19.1539234
0_36_0,1226,0.40083548,0.6991025,0.8935768,-0.7806625,2411,0.01998625,0.01995875,0.03769625,0.01869375,0.31755,0.13402875,0.05375625,0.13402875,0,6.269748,2013,-96.84490041,18.97120607
0_37_0,2715,-0.030738385,0.16125865,0.4458982,-0.48192352,718,0.0413675,0.04937,0.078135,0.0838,0.2235,0.2098875,0.16036,0.2098875,0,2.0976925,2013,-97.40032875,19.09140066
0_38_0,1631,0.35074642,0.6015508,0.82851285,-0.73826283,2133,0.0297075,0.02906125,0.0535775,0.03423125,0.37107875,0.18687,0.09030375,0.18687,0,24.96408,2013,-97.12086287,18.80223297
0_39_0,1492,0.35685346,0.6667777,0.8325392,-0.74836224,2141,0.0232725,0.022145,0.0412025,0.0254725,0.2368925,0.11469625,0.0539625,0.11469625,0,17.489029,2013,-97.14700384,18.87472701
0_40_0,1119,0.34183243,0.6629776,0.8450451,-0.74503285,2851,0.025555,0.022805,0.035235,0.018515,0.22383,0.1169925,0.0497825,0.1169925,0,42.890816,2013,-97.02303633,18.84481311
0_41_0,1580,0.22115476,0.5307611,0.75040877,-0.68025357,2227,0.0324575,0.04057,0.0853125,0.0636975,0.438275,0.2842475,0.13968,0.2842475,0,19.983603,2013,-97.06696395,19.39215662
0_42_0,795,0.33329067,0.61690795,0.7779028,-0.68635464,2449,0.02460625,0.02429,0.04629,0.03079375,0.24749375,0.1405325,0.063175,0.1405325,0,10.362959,2013,-96.98854103,18.81759416
0_43_0,3476,0.25009,0.49699947,0.6198063,-0.62916154,1914,0.00557625,0.01443125,0.0370775,0.0358675,0.152935,0.0921325,0.05378375,0.0921325,0,42.745678,2013,-97.24779482,19.20512737
0_44_0,2978,0.26803732,0.50369775,0.7124652,-0.6699367,1353,0.0105675,0.0169475,0.04014375,0.034135,0.2025725,0.11708875,0.06698375,0.11708875,0,15.336663,2013,-97.23189464,19.39485156
0_45_0,777,0.27730182,0.5680526,0.7174769,-0.65505785,2284,0.0316325,0.0355925,0.0662,0.0537425,0.3176325,0.176695,0.0889975,0.176695,0,2.097041,2013,-96.92467081,18.85424542
0_46_0,562,0.2775607,0.5536219,0.7207119,-0.64434475,2430,0.028965,0.0332825,0.06246,0.0488475,0.2812775,0.169655,0.09073,0.169655,0,9.709689,2013,-96.82819175,18.90437142
0_47_0,2544,0.32966587,0.6317971,0.8642216,-0.770339,1933,0.004655,0.0095775,0.040185,0.02253,0.3088875,0.15552,0.06956875,0.15552,0,33.866196,2013,-97.12059337,19.33798821
0_48_0,779,0.41791412,0.7249711,0.88170904,-0.78462267,2056,0.02870375,0.025775,0.04486,0.02279125,0.3617425,0.152605,0.05889875,0.152605,0,15.927028,2013,-96.88074319,18.93563279
0_49_0,1184,0.201374,0.3851515,0.62408227,-0.58291477,2370,0.0425775,0.0458225,0.0733775,0.06439875,0.27366,0.18064125,0.1213375,0.18064125,0,2.7802885,2013,-97.01683796,18.93967521
0_50_0,2593,-0.08178027,0.043705005,0.2874881,-0.36353675,896,0.0517075,0.06202,0.09222875,0.10674875,0.1971825,0.2238025,0.17387625,0.2238025,0,15.417577,2013,-97.46473796,18.96392972
0_51_0,1345,0.28455007,0.55889606,0.7928747,-0.7099989,1391,0.0201925,0.0251975,0.06624125,0.0406525,0.3588275,0.1941575,0.10427375,0.1941575,0,2.9472823,2013,-97.21168254,18.77636149
0_52_0,2976,-0.15909228,-0.12048484,0.2155528,-0.34528023,885,0.0471425,0.054155,0.0819025,0.095075,0.2043875,0.2420625,0.22339,0.2420625,0,6.8365803,2013,-97.36125204,19.0647207
0_53_0,900,0.30638206,0.5771418,0.8016768,-0.70214415,1967,0.0130975,0.01960125,0.05854125,0.0404875,0.3527775,0.1906925,0.0991725,0.1906925,0,6.271562,2013,-96.840858,19.19192214
0_54_0,2673,-0.035922084,0.039147466,0.27794257,-0.3847109,718,0.0457675,0.05537875,0.0801975,0.1008775,0.23476125,0.19842,0.17186875,0.19842,0,3.8318796,2013,-97.40625763,19.09786853
0_55_0,3019,0.07259171,0.22297953,0.5019858,-0.5431531,985,0.030175,0.03109625,0.04250875,0.04030875,0.18482125,0.1347025,0.0936725,0.1347025,0,5.022665,2013,-97.35936558,19.0445086
0_56_0,794,0.37829107,0.65842116,0.8237583,-0.71768683,2851,0.02616,0.028085,0.0573175,0.03518,0.343015,0.1642375,0.0714525,0.1642375,0,4.1881924,2013,-97.00363272,18.80142449
0_57_0,1317,0.36703202,0.66390014,0.8793,-0.7657034,2141,0.027315,0.0271225,0.0457675,0.021595,0.3516775,0.1667675,0.079235,0.1667675,0,12.148618,2013,-97.10334572,18.88119488
0_58_0,1490,0.24259356,0.5333826,0.7811362,-0.7011786,1824,0.02583,0.0267925,0.0432925,0.030285,0.2465725,0.150295,0.075,0.150295,0,33.463856,2013,-97.19200944,18.7809429
