index,clase,DEM,ENTIDAD,year,FUENTE_INF,LATITUD,LONGITUD,LAT,LON,LITOLOGIA,MUNICIPIO,Moisture,NBR,NDVI,NDWI,PRE_ANUAL,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,SWIR,TIPO,slope
1_00000000000000000292,1,2026,Puebla,2015,Campo_2015,19 13 35.191,-97 4 41.757,19.226442,-97.078266,Caliza-Doloma,Chichiquila,0.2451008260,0.4989218120,0.685230494,-0.654450834,1900,0.02518375,0.02785125,0.06367000,0.05675375,0.30336000,0.10133125,0.18186500,Deslizamiento,14.21381969
1_000000000000000002ec,1,3053,Puebla,2015,Campo_2015,19 15 17.293,-97 15 19.645,19.254804,-97.255457,Pumicita,Chilchotla,0.0292579660,0.1957905890,0.296258897,-0.352899849,1322,0.03471250,0.04832500,0.07505500,0.08773250,0.16291750,0.10335250,0.15975500,Deslizamiento,21.6953311
1_000000000000000002ed,1,1619,Puebla,2015,Campo_2015,19 18 21.115,-97 5 19.389,19.30586,-97.088719,Caliza-Doloma,Quimixtln,0.2420523910,0.5202344060,0.745981276,-0.709484339,2192,0.02327250,0.02753500,0.05779875,0.04750000,0.33363750,0.10804125,0.21217000,Deslizamiento,29.33041041
1_000000000000000002ee,1,2144,Puebla,2015,Campo_2015,19 13 38.609,-97 8 51.301,19.227391,-97.147584,Andesita-Dacita,Quimixtln,0.0552163050,0.2276174580,0.465932429,-0.483797997,1518,0.03729750,0.04941125,0.08166875,0.08668750,0.23429375,0.14706375,0.20862250,Deslizamiento,21.27964489
1_000000000000000002ef,1,2148,Puebla,2015,Campo_2015,19 13 29.740,-97 8 49.073,19.224928,-97.146965,Andesita-Dacita,Quimixtln,0.1778726130,0.4126142860,0.661025643,-0.635458469,1521,0.02717750,0.03344750,0.06742375,0.06045250,0.30297500,0.12594375,0.20496500,Deslizamiento,16.27220323
1_000000000000000002f0,1,1559,Puebla,2015,Campo_2015,19 12 16.583,-97 3 21.030,19.204606,-97.055842,Caliza-Doloma,Chichiquila,0.3989892900,0.6887030010,0.865912497,-0.773133695,1957,0.02321750,0.02209000,0.04447500,0.02495000,0.32860500,0.06281750,0.14520750,Deslizamiento,32.96009268
1_000000000000000002f1,1,2792,Puebla,2015,Campo_2015,18 59 36.990,-97 24 27.631,18.993608,-97.407675,Andesita-Dacita,Chalchicomula de Sesma,0.0230092020,0.1523829700,0.302916884,-0.355607480,749,0.03590875,0.04307250,0.06508625,0.07230500,0.13314875,0.09782500,0.12725000,Deslizamiento,10.37229913
1_00000000000000000006,1,1396,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 19 44.635,-97 3 22.069,19.329065,-97.05613,Toba andestica,Ixhuacn de los Reyes,0.3644602890,0.6454437970,0.842279792,-0.747887671,1961,0.01748375,0.01968375,0.04279750,0.02642125,0.30316750,0.06299625,0.14139875,Deslizamiento,15.57351766
1_00000000000000000028,1,1847,Veracruz de Ignacio de la Llave,2015,Campo_2015,18 59 51.582,-97 5 39.544,18.997662,-97.094318,Lahar,Coscomatepec,0.1980777380,0.4446538090,0.667618215,-0.637591958,1744,0.02152625,0.02423500,0.05620375,0.04817375,0.26772000,0.08914875,0.15597375,Deslizamiento,31.12483008
1_00000000000000000029,1,1348,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 0 3.386,-96 54 22.795,19.000941,-96.906332,Lutita-Caliza,Ixhuatln del Caf,0.3118965920,0.5850395560,0.774905622,-0.727484405,2281,0.02335500,0.02231000,0.04142250,0.03045000,0.26466750,0.06466000,0.13550000,Deslizamiento,20.65477585
1_0000000000000000002a,1,1851,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 3 49.885,-97 6 6.718,19.063857,-97.101866,Lahar,Coscomatepec,0.1190641000,0.3554374280,0.583862185,-0.566928923,1838,0.02847000,0.03564750,0.05993000,0.05159750,0.20378250,0.10791750,0.16575000,Deslizamiento,2.947841298
1_0000000000000000002b,1,2032,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 3 59.881,-97 7 24.109,19.066634,-97.123364,Caliza,Alpatlhuac,-0.1124412190,-0.0151089350,0.249615908,-0.341889322,1753,0.06427500,0.08194375,0.12690625,0.15699125,0.25805375,0.25925000,0.32442500,Deslizamiento,5.476260223
1_0000000000000000002c,1,1878,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 3 59.181,-97 6 18.822,19.066439,-97.105228,Lahar,Coscomatepec,0.1410917490,0.3485478760,0.570480227,-0.567628384,1835,0.04149125,0.05194125,0.08534000,0.08176500,0.30426750,0.14783375,0.22770750,Deslizamiento,8.81039431
1_0000000000000000002d,1,1989,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 4 1.428,-97 7 9.965,19.067063,-97.119435,Caliza,Coscomatepec,-0.0238970480,0.1170249210,0.352262020,-0.416419685,1768,0.04865500,0.06397250,0.10852250,0.12936750,0.26879250,0.20562500,0.27924250,Deslizamiento,20.50032792
1_0000000000000000002e,1,1424,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 4 20.529,-96 59 19.588,19.069591,-96.988774,Caliza-Doloma,Ixhuatln del Caf,0.2683569490,0.5317404870,0.769422531,-0.736831665,2002,0.02783750,0.02825000,0.04813250,0.04139500,0.31766000,0.09606500,0.18255250,Deslizamiento,19.39428318
1_0000000000000000002f,1,1905,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 6 10.946,-97 6 24.028,19.103041,-97.106674,Andesita-Dacita,Alpatlhuac,0.2352793070,0.5231910940,0.760108709,-0.699909270,1886,0.02944625,0.03009250,0.04820125,0.03762750,0.30784250,0.08749875,0.17841375,Deslizamiento,28.83907228
1_0000000000000000028c,1,2388,Veracruz de Ignacio de la Llave,2015,Campo_2015,18 52 9.344,-97 13 13.412,18.869262,-97.220392,Caliza-Doloma,Maltrata,0.2235842940,0.4686991270,0.617838502,-0.591856539,831,0.03564750,0.03744875,0.06204750,0.05289000,0.23613625,0.08826875,0.14527625,Deslizamiento,24.37897395
1_0000000000000000028e,1,2273,Veracruz de Ignacio de la Llave,2015,Campo_2015,18 49 42.338,-97 17 29.708,18.828427,-97.291586,Caliza-Lutita,Maltrata,0.0440224260,0.2069659080,0.392723083,-0.425111264,647,0.04997500,0.06180000,0.10431500,0.11394000,0.25859000,0.17141500,0.23678250,Deslizamiento,28.43347638
